artist,album,catalogueNo,played,location,needNewCase,sleeveRating,sleeveNotes,mediaRating,mediaNotes,purchasedByMe,purchaseDate
SHA NA NA,ROCK N' ROLL IS HERE TO STAY,KSBS 2010,,shelf,,,,,,,
SHA NA NA,NIGHT IS STILL YOUNG,KSBS 2050,,shelf,,,,,,,
SIMON & GARFUNKEL,BRIDGE OVER TROUBLED WATER,KCS 9914,TRUE,shelf,FALSE,VG+,"clean, no real ring wear, has inner sleeve",VG+,"no skips, plays well",,
SIMON & GARFUNKEL,BRIDGE OVER TROUBLED WATER,KCS 9914,,shelf,FALSE,VG,"a little worn around edges, has inner sleeve, light ring wear, fading on jacket",VG+,"a little crackly at points, no skipping",,
SIMON & GARFUNKEL,"PARSLEY, SAGE, ROSEMARY & THYME",,TRUE,shelf,,,,,,TRUE,
SIMON & GARFUNKEL,BRIDGE OVER TROUBLED WATER,,,shelf,,,,,,,
SIMON & GARFUNKEL,SOUNDS OF SILENCE,,,shelf,,,,,,,
SKEETER DAVIS,I FORGOT MORE THAN YOU'LL EVER KNOW,,,,,,NO RECORD,,,,
SKEETER DAVIS,I FORGOT MORE THAN YOU'LL EVER KNOW,,,,,,,,,,
SLADE,SLADE ALIVE,,,shelf,,,,,,,
SLY & THE FAMILY STONE,THERE'S A RIOT GOIN' ON,KE 30896,TRUE,shelf,FALSE,VG+,"has inner sleeve, no splitting",VG+,"no skips, no noticable noise",,
SLY & THE FAMILY STONE,STAND!,,TRUE,shelf,FALSE,VG+,"no splitting, has inner sleeve",VG+,"no skips, no noticable noise",,
"SONS OF CHAMPLIN, THE",LOOSEN UP NATURALLY,,,shelf,,,,,,,
SOUNDTRACK,CATS,2GHS 2017,,shelf,,,,,,,
SOUNDTRACK,RODGERS & HAMMERSTEIN'S SOUTH PACIFIC,LOC-1032,,TUB,FALSE,,,,,,
SOUNDTRACK,XANADU,MCA 6100,,shelf,,,,,,,
SOUNDTRACK,YOU ARE WHAT YOU EAT,OS 3240,,TUB,FALSE,"WATER DAMAGE ON OUTER JACKET, DIRTY",P,,,,
SOUNDTRACK,STAR WARS - LONDON SYMPHONY ORCHESTRA,,,,,,,,,,
SOUNDTRACK,HAIR,LSO-1150,,shelf,,,,,,,
SOUNDTRACK,GYPSY,,,,,,,,,,
SOUNDTRACK,GIGI,,,,,,,,,,
SOUNDTRACK,WEST SIDE STORY,,,,,,,,,,
SOUNDTRACK,THEY WENT THAT-A-WAY,,,,,,,,,,
SOUPY SALES,STILL SOUPY AFTER ALL THESE YEARS,MCA 5274,,shelf,,,,,,,
"SOUTHER HILLMAN FURAY BAND, THE",SOUTHER-HILLMAN-FURAY BAND,,,TUB,,,,,,,
"SOUTHER HILLMAN FURAY BAND, THE",TROUBLE IN PARADISE,,,shelf,,,,,,,
SPANKY & OUR GANG,LIKE TO GET TO KNOW YOU,,,shelf,,,,,,,
SPIRIT,THE FAMILY THAT PLAYS TOGETHER,,,shelf,,,,,,,
SPIRIT,SPIRIT,,,shelf,,,,,,,
SPIRIT,FEEDBACK,,,shelf,,,,,,,
SPIRIT,TWELVE DREAMS OF DR. SARDONICUS,,,shelf,,,,,,,
SPIRIT,SPIRIT,,,,,,,,,,
SPIRIT,THE FAMILY THAT PLAYS TOGETHER,,,,,,,,,,
STEELY DAN,AJA,AA 1006,TRUE,shelf,,,,,,,
STEELY DAN,COUNTDOWN TO ECSTASY,ABCX-779,,shelf,,,,,,,
STEELY DAN,GAUCHO,MCA 6102,,shelf,,,,,,,
STEELY DAN,GAUCHO,,,,,,,,,,
STEELY DAN,GAUCHO,,,,,,,,,,
STEPHEN STILLS & MANASSAS,DOWN THE ROAD,SD 7250,,shelf,,,,,,,
STEPPENWOLF,THE SECOND,DS-50037,,shelf,,,,,,,
STEPPENWOLF,MONSTER,DS-50066-A,,shelf,,,,,,,
STEPPENWOLF,STEPPENWOLF GOLD (GREATEST HITS),DSX 50099,,shelf,,,,,,,
STEPPENWOLF,STEPPENWOLF GOLD,DSX 50099,,shelf,,,,,,,
STEPPENWOLF,FOR LADIES ONLY,DSX 50110,,shelf,,,,,,,
STEPPENWOLF,REST IN PEACE,DSX 50124,,shelf,,,,,,,
STEPPENWOLF,16 GREATEST HITS,DSX 50135,,shelf,,,,,,,
STEPPENWOLF,THE SECOND,,,,,,,,,,
STEPPENWOLF,GOLD: THEIR GREAT HITS,,,,,,,,,,
STEVE MILLER BAND,NUMBER 5,SKAO-436,,shelf,,,,,,,
STEVE MILLER BAND,NUMBER 5,SKAO-436,,shelf,,,,,,,
STEVE MILLER BAND,THE JOKER,SMAS 11235,,shelf,,,,,,,
STEVE MILLER BAND,FLY LIKE AN EAGLE,ST-11497,,shelf,,,,,,,
STEVE MILLER BAND,ANTHOLOGY,SVBB-11114,TRUE,shelf,,VG,"inner sleeve has mold, outer jacket is discolored and dirty",,side 1 & 4 no skipping,,
STEVE PERRY,STREET TALK,FC39334,,shelf, ,,,,,,
STEVIE NICKS,STAND BACK,R1 587601,TRUE,shelf,,VG+,got warped mildly on shelf,VG+,mildly warped,TRUE,2019-12-01
STEVIE RAY VAUGHAN AND DOUBLE TROUBLE,COULDN'T STAND THE WEATHER,,,TUB,,,,,,,
STEVIE WINWOOD,WINWOOD,,,,,,,,,,
STEVIE WONDER,SONGS IN THE KEY OF LIFE,T 13-340C2,TRUE,shelf,,,,,,,
STONEGROUND,FAMILY ALBUM,2ZS 1956,TRUE,shelf,,VG+,,VG,"a couple skips, a little noisy at times, maybe warping since the first track on one side skipped several times",,
STONEGROUND,FLAT OUT,,,shelf,,,,,,,
STONEGROUND ,FAMILY ALBUM,2ZS 1956,,shelf,,,,,,,
STRAWBS,GRAVE NEW WORLD,SP 4344,,shelf,,,,,,,
STYX,PARADISE THEATER,SP 3719,,shelf,,,,,,,
STYX,PIECES OF EIGHT,,TRUE,shelf,,,,,,,
STYX,CORNERSTONE,,,shelf,,,,,,,
STYX,EQUINOX,,,shelf,,,,,,,
STYX,CORNERSTONE,,,,,,,,,,
SUGARLOAF,SUGARLOAF,LST-7640,,,,,,,,,
SUPERTRAMP,... FAMOUS LAST WORDS ...,,,shelf,,GENERIC,"replaced jacket, original sleeve",,,,
SUPREMES,BABY LOVE,CSJ 268,,,,,,,,,
"SUPREMES, THE",BABY LOVE,,,,,,,,,,
"SUTHERLAND BROTHERS & QUIVER, THE",LIFEBOAT,,,,,,,,,,
SWEATHOG,SWEATHOG,,,,,,,,,,
T. REX,ELECTRIC WARRIOR,,TRUE,,,,,,,,
T. REX,ELECTRIC WARRIOR,,,,,,,,,,
TANGERINE DREAM,STRATOSFEAR,,,,,,,,,,
TED NUGENT,TED NUGENT,,,TUB,,,,,,,
TED NUGENT,WEEKEND WARRIORS,,,,,,,,,,
TED NUGENT,WEEKEND WARRIORS,,,,,,,,,,
TED NUGENT,TED NUGENT,,,,,,,,,,
TEDDY PENDERGRASS,LIVE! COAST TO COAST,,,,,,,,,,
THE ZODIAC,COSMIC SOUNDS,EKS-74009,,TUB,FALSE,VG+,,,,,
THELMA HOUSTON & PRESSURE COOKER,I'VE GOT THE MUSIC IN ME,,,,,,,,,,
THEM,THEM AGAIN,,,TUB,,,,,,,
THIN LIZZY,BLACK ROSE: A ROCK LEGEND,,TRUE,,,,,,,,
THIN LIZZY,CHINATOWN,,TRUE,,,,,,Needs cleaning,,
THREE DOG NIGHT,ONE,,TRUE,shelf,FALSE,VG+,,VG,"a little bit of background noise, needs cleaning",,
THREE DOG NIGHT,THREE DOG NIGHT,,,,,,,,,,
THREE DOG NIGHT,GOLDEN BISQUITS,,,,,,,,,,
THREE DOG NIGHT,IT AIN'T EASY,,,,,,,,,,
THUMBS TUBBY,OLD TIME PIANO PLAYING,,,,,,,,,,
TIMOTHY LEARY,YOU CAN BE ANYONE THIS TIME AROUND,,,,,,,,,,
TOM FOGERTY,ZEPHYR NATIONAL,,,,,,,,,,
TOM JOHNSTON,EVERYTHING YOU'VE HEARD IS TRUE,,,,,,,,,,
TOM JONES,LOVE IS ON THE RADIO,,,,,,,,,,
TOM JONES,HIT PARADE ITALIAN RELEASE,,,,,,,,,,
TOM JONES,LOVE IS ON THE RADIO,,,,,,,,,,
TOMMY JAMES & THE SHONDELLS,THE BEST OF TOMMY JAMES & THE SHONDELLS,,,,,,,,,,
TONY BENNETT,I LEFT MY HEART IN SAN FRANCISCO,,,,,,,,,,
TOTO,IV,,TRUE,,,,,,,,
TOTO,TOTO,,TRUE,,,,,,,,
TOWER OF POWER,BACK TO OAKLAND,BS 2749,TRUE,,,,,,Side 1 - Minor skipping on some tracks,,
TOWER OF POWER,BACK TO OAKLAND,,,,,,,,,,
TOWER OF POWER,BUMP CITY,,,,,,,,,,
TOWER OF POWER,TOWER OF POWER,,,,,,,,,,
TOWER OF POWER,URBAN RENEWAL,,,,,,,,,,
TOWER OF POWER,BUMP CITY,,,,,,,,,,
TOWER OF POWER,TOWER OF POWER,,,,,,,,,,
TOWER OF POWER,WE CAME TO PLAY,,,,,,,,,,
TRAFFIC,JOHN BARLEYCORN MUST DIE,,TRUE,,,,,,,,
TRINI LOPEZ,THE FOLK ALBUM,R-6147,,TUB,FALSE,VG,,,,,
TRINI LOPEZ,AT PJ'S,,,,,,,,,,
"TUBES, THE",THE TUBES,,,,,,,,,,
U2,THE JOSHUA TREE,,,,,,,,,,
U2,THE UNFORGETTABLE FIRE,,,,,,,,,,
URIAH HEEP,URIAH HEEP LIVE,,,,,,,,,,
VAN CLIBURN,MY FAVORITE CHOPIN,,,,,,,,,,
VAN MORRISON,MOONDANCE,WS 1835,TRUE,,,VG+,,VG,,,
VAN MORRISON,TUPELO HONEY,WS 1950,TRUE,,,,,,,,
VANILLA FUDGE,ROCK & ROLL,,,,,,,,,,
VANILLA FUDGE,THE BEST OF VANILLA FUDGE,,,,,,,,,,
VANILLA FUDGE,ROCK & ROLL,,,,,,,,,,
VANILLA FUDGE,VANILLA FUDGE,,,,,,,,,,
VANILLA FUDGE,THE BEST OF VANILLA FUDGE,,,,,,,,,,
VARIOUS ARTISTS,GOSPEL COUNTRY,BU4420,,TUB,FALSE,,VG+,,,,
VARIOUS ARTISTS,THE TEEN SOUND!,CSS 523,,TUB,,"NO JACKET, BUT I PROBABLY WON'T KEEP IT",,,,,
VARIOUS ARTISTS,THE SECRET POLICEMAN'S OTHER BALL,ILPS 9698,,TUB,FALSE,WATER DAMAGE ON BOTTOM,G+,,,,
VARIOUS ARTISTS,CRUISIN' 1962,INCM 2007,,,,,,,,,
VARIOUS ARTISTS,CRUISIN' 1962,INCM-1962,,,,,,,,,
VARIOUS ARTISTS,SUPER BUBBLE,OP-3504,,TUB,FALSE,"TOP IS SPLIT, ALL 3 INNER JACKETS ARE THERE",VG,,,,
VARIOUS ARTISTS,MONSTERS,PRO-A-796,,TUB,FALSE,,,,,,
VARIOUS ARTISTS,TIME TO GET IT TOGETHER,SL-6696,,TUB,TRUE,,,,,,
VARIOUS ARTISTS,ORIGINAL OLD GOLD,,,TUB,TRUE,,,,,FALSE,
VARIOUS ARTISTS,VALLEY GROWN,,,TUB,,,,,,,
VARIOUS ARTISTS,BOSS GOLDENS,,,,,,,,,,
VARIOUS ARTISTS,LIGHTS OUT: SAN FRANCISCO,,,,,,,,,,
VARIOUS ARTISTS,FLASHBACKS IN STEREO,,,,,,,,,,
VARIOUS ARTISTS,CRUISIN' 1963,,,,,,,,,,
VARIOUS ARTISTS,THE ORIGINAL COUNTRY HITS,,,,,,,,,,
VARIOUS ARTISTS,3RD ANNIVERSARY ALBUM,,,,,,,,,,
VARIOUS ARTISTS,SUPER STARS SUPER HITS,,,,,,,,,,
VARIOUS ARTISTS,THE SENSATIONAL 60S,,,,,,,,,,
VARIOUS ARTISTS,FREEDOM,,,,,,,,,,
VARIOUS ARTISTS,ROLLING COUNTRY,,,,,,,,,,
VARIOUS ARTISTS,TOGETHER,,,,,,,,,,
VARIOUS ARTISTS,CRUISIN' 1959,,,,,,,,,,
VARIOUS ARTISTS,BOYS! BOYS! BOYS! A VOCAL SPECTACULAR,,,,,,,,,,
VARIOUS ARTISTS,TODAY'S SUPER GREATS,,,,,,,,,,
VARIOUS ARTISTS,CAVALCADE OF STARS,,,,,,,,,,
VARIOUS ARTISTS,CRUISIN' 1962,,,,,,,,,,
VARIOUS ARTISTS,MUSIC EXPRESS,,,,,,,,,,
VARIOUS ARTISTS,SGT. PEPPER'S LONELY HEARTS CLUB BAND,,,,,,,,,,
VARIOUS ARTISTS,SURFIN' SIXTIES,,,,,,,,,,
VARIOUS ARTISTS,HARMONY,,,,,,,,,,
"VENTURES, THE",THE VENTURES PLAY TELSTAR AND THE LONELY BULL,,,,,,,,,,
"VENTURES, THE",GOLDEN GREATS,,,,,,,,,,
VERN GOSDIN,TILL THE END,,,TUB,,,,,,,
"VOGUES, THE",GREATEST HITS,,,,,,,,,,
WALTER EGAN,NOT SHY,,,,,,,,,,
WAR,GREATEST HITS,UA-LA648-G,TRUE,shelf,FALSE,VG+,"very clean, not worn, has original inner sleeve",,side two skipped a few times,,
WAR,ALL DAY MUSIC,,,,,,,,,,
WARREN ZEVON,EXCITABLE BOY,6E-118,TRUE,SHELF,FALSE,VG+,"OUTER AND INNER JACKETS ARE GREAT, NO RING WEAR!",VG+,"plays well, not noisy",,
WAYLON JENNINGS,WAYLON LIVE,,,,,,,,,,
WAYLON JENNINGS,WAYLON AND COMPANY,,,,,,,,,,
WAYLON JENNINGS,WAYLON AND COMPANY,,,,,,,,,,
WAYNE NEWTON,RED ROSES FOR A BLUE LADY,,,,,,,,,,
WEATHER REPORT,I SING THE BODY ELECTRIC,,,,,,,,,,
WEATHER REPORT,TALE SPINNIN',,,,,,,,,,
WEATHER REPORT,I SING THE BODY ELECTRIC,,,,,,,,,,
WEBLEY EDWARDS,ROMANTIC INSTRUMENTALS OF THE ISLANDS,,,,,,,,,,
"WEST, BRUCE & LAING",WHY DONTCHA,,,,,,,,,,
WET WILLIE,GREATEST HITS,,,,,,,,,,
WET WILLIE,MANORISMS,,,,,,,,,,
WET WILLIE,WHICH ONE'S WILLIE?,,,,,,,,,,
"WHISPERS, THE",JUST GETS BETTER WITH TIME,,,,,,,,,,
"WHITE SISTERS, THE",COUNT YOUR BLESSINGS,,,,,,,,,,
"WHO, THE",TOMMY,,TRUE,,,VG,,VG+,,TRUE,4/23
"WHO, THE",LIVE AT LEEDS,,,,,,,,,,
"WHO, THE",LIVE AT LEEDS,,,,,,,,,,
"WHO, THE",WHO'S NEXT,,,,,,,,,,
"WILBURN BROTHERS, THE",TWO FOR THE SHOW,,,,,,,,,,
WILLIE NELSON,COUNTRY WINNERS,,,,,,,,,,
WILLIE NELSON,TO LEFTY FROM WILLIE,,,,,,,,,,
WILLIE NELSON,STARDUST,,,,,,,,,,
WINGS,VENUS AND MARS,,,,,,,,,,
WISHBONE ASH,LIVE DATES,,,,,,,,,,
WISHBONE ASH,ARGUS,,,,,,,,,,
WYNN STEWART,WYNN STEWART,,,,,,,,,,
YES,FRAGILE,,,,,,,,,,
YES,FRAGILE,,,,,,,,,,
YES,CLOSE TO THE EDGE,,,,,,,,,,
YES,90125,,,,,,,,,,
"YOUNG RASCALS, THE",THE YOUNG RASCALS,,,,,,,,,,
"YOUNG RASCALS, THE",COLLECTIONS,,,,,,,,,,
"YOUNGBLOODS, THE",ELEPHANT MOUNTAIN,,,,,,,,,,
ZZ TOP,ELIMINATOR,,,,,,,,,,
ZZ TOP,ELIMINATOR,,,,,,,,,,
ZZ TOP,TRES HOMBRES,,,,,,,,,,
ZZ TOP,ELIMINATOR,,,,,,,,,,
ZZ TOP,TRES HOMBRES,,,,,,,,,,
ZZ TOP,AFTERBURNER,,,,,,,,,,
ZZ TOP,FANDANGO,,,,,,,,,,
