artist,album,catalogueNo,played,location,needNewCase,sleeveRating,sleeveNotes,mediaRating,mediaNotes,purchasedByMe,purchaseDate
"BUTTERFIELD BLUES BAND, THE",SOMETIMES I JUST FEEL LIKE SMILIN',,,,,,,,,,
CACTUS,RESTRICTIONS,SD 33-377,,,,G,,,,,
CANNED HEAT,LIVING THE BLUES,LST-27200,TRUE,shelf,,,,,,,
CAPTAIN BEEFHEART & HIS MAGIC BAND,STRICTLY PERSONAL,BST-1,,,,,,,,,
CAPTAIN BEYOND,DAWN EXPLOSION,BS 3047,,,,,,,,,
CAPTAIN BEYOND,SUFFICIENTLY BREATHLESS,CP 0115,,,,,,,,,
CARL SMITH,CARL SMITH'S BEST,HL 7310,,,,,,,,,
CARLY SIMON,NO SECRETS,75049,,,,,,,,,
CARLY SIMON,NO SECRETS,75049,,,,,,,,,
CARPENTERS,CARPENTERS,SP 3502,TRUE,shelf,,,,,,,
"CARS, THE",SHAKE IT UP,5E-567,,,,,,,,,
CASS ELLIOT,"BUBBLEGUM, LEMONADE, &... SOMETHING FOR MAMA",DS 50055,TRUE,shelf,,,,,,TRUE,
CAT STEVENS,FOREIGNER,SP4391,,,,,,,,,
CAT STEVENS,GREATEST HITS,,,,,,,,,,
CAT STEVENS,TEA FOR THE TILLERMAN,,,,,,,,,,
CAT STEVENS,TEA FOR THE TILLERMAN,,,,,,,,,,
CHAD & JEREMY,DISTANT SHORES,CS 9364,TRUE,shelf,TRUE,,MOLDY,,NEEDS CLEANING,,
CHAD & JEREMY,THE BEST OF CHAD & JEREMY,ST 2470,,shelf,,,,,,,
"CHAMBERS BROTHERS, THE",GREATEST HITS,C 30871,,,,,,,,,
CHARLEY PRIDE,THE BEST OF CHARLEY PRIDE,,,TUB,,,,,,,
CHARLEY PRIDE,THE BEST OF CHARLEY PRIDE,,,TUB,,,,,,,
CHARLEY PRIDE,THE BEST OF CHARLEY PRIDE,,,TUB,,,,,,,
CHARLEY PRIDE,THE BEST OF CHARLEY PRIDE,,,TUB,,,,,,,
CHARLEY PRIDE,THE BEST OF CHARLEY PRIDE VOL II,,,TUB,,,,,,,
CHARLIE BYRD AND WOODY HERMAN,THE BYRD & THE HERD,,,TUB,,,,,,,
"CHARLIE DANIELS BAND, THE",WINDOWS,FE 37694,,,,VG+,still has outer plastic wrap protecting jacket,,,,
"CHARLIE DANIELS BAND, THE",FIRE ON THE MOUNTAIN,KSBS 2603,TRUE,shelf,,VG,splitting on bottom,,,,
CHARLIE RICH,GREATEST HITS,APL1-0857,,,,,,,,,
CHARLIE RICH,BEHIND CLOSED DOORS,,,,,,,,,,
CHARLIE RICH,CLASSIC RICH,,,,,,,,,,
CHEAP TRICK,CHEAP TRICK AT BUDOKAN,FE 35795,,,,,,,,,
CHEECH & CHONG,BIG BAMBU,SP 77014,,shelf,,"Pretty badly split at fold, has inner sleeve, some mildew on inner sleeve and back of jacket has paper stuck from another record maybe?",VG,,,,
CHEECH & CHONG,BIG BAMBU,SP 77014,,shelf,,"SOME SPLITTING ON TOP OF OUTER JACKET, HAS INNER SLEEVE",VG,,,,
CHEECH AND CHONG,CHEECH AND CHONG,SP 77010,,shelf,,,,,,,
CHICAGO,CHICAGO (II),KGP 24,TRUE,,,,,,,TRUE,
CHICAGO,X,PC 34200,,,,,,,,TRUE,
CHRIS MONTEZ,THE MORE I SEE YOU CALL ME,,,,,,,,,,
CHUCK BERRY,THE LONDON CHUCK BERRY SESSIONS,,,,,,,,,,
CHUCK MANGIONE,FEELS SO GOOD,SP 3219,TRUE,,,,,,,,
CLASSICAL,STOLEN HOURS,,,,,,,,,,
CLASSICAL,WORLD'S GREATEST MUSIC,,,,,,,,,,
CLASSICAL,THE POPULAR GERSHWIN,,,,,,,,,,
CLIMAX BLUES BAND,REAL TO REEL,,,,,,,,,,
COLD BLOOD,COLD BLOOD,,,,,,,,,,
COLD BLOOD,COLD BLOOD,,,,,,,,,,
COLD BLOOD,LYDIA,,,,,,,,,,
COLE PORTER,COLE PORTER: A REMEMBRANCE,,,,,,,,,,
COMMANDER CODY AND HIS LOST PLANET AIRMEN,"HOT LICKS, COLD STEEL AND TRUCKER'S FAVORITES",,,,,,,,,,
COMMANDER CODY AND HIS LOST PLANET AIRMEN,COUNTRY CASANOVA,,,,,,,,,,
CONWAY TWITTY,REST YOUR LOVE ON ME,MCA-5138,,,,,,,,,
CONWAY TWITTY,TWITTY BIRDS,,,,,,,,,,
CONWAY TWITTY,NUMBER ONES,,,,,,,,,,
COPPERHEAD,COPPERHEAD,,,,,,,,,,
COUNTRY JOE AND THE FISH,I-FEEL-LIKE-I'M-FIXIN'-TO-DIE,VSD 79266,,,,,,,,,
COUNTRY JOE AND THE FISH,ELECTRIC MUSIC FOR THE MIND AND BODY,,,,,,,,,,
COUNTRY JOE AND THE FISH,I-FEEL-LIKE-I'M-FIXIN'-TO-DIE,,,,,,,,,,
CREAM,OFF THE TOP,PD 5529,TRUE,shelf,,G/VG,"no splitting, has inner jacket, jacket has marks and soiled/molded spots on back left",VG,"noisy, needs cleaning",FALSE,
CREAM,DISRAELI GEARS,SD 33-232,TRUE,shelf,,P,"missing inner sleeve, jacket split on all sides",VG,"noisy, but no skipping",FALSE,
CREAM,DISRAELI GEARS,,,TUB,,,,,NO RECORD,,
CREEDENCE CLEARWATER REVIVAL,GREEN RIVER,,TRUE,,,,,,,,
CREEDENCE CLEARWATER REVIVAL,CREEDENCE CLEARWATER REVIVAL,,,,,,,,NO RECORD,,
CREEDENCE CLEARWATER REVIVAL,BAYOU COUNTRY,,,,,,,,,,
"CROSBY, STILLS & NASH",CSN,SD 19104,TRUE,,,,,,,TRUE,
"CROSBY, STILLS, NASH & YOUNG",DEJA VU,SD 7200,TRUE,,,,,,,,
CROWBAR,BAD MANORS,,,,,,,,,,
CRYSTAL GAYLE,WHEN I DREAM,,,,,,,,,,
CULTURE CLUB,KISSING TO BE CLEVER,ARE 38398,TRUE,,,,,,,,
